Name	Description	pvalue	qvalue	phenotype	genes
GO:0048880	sensory system development	0.0195	0.0195	1	SEMA3A,VEGFA,WNT6,CYP1B1,EPHA2,SHROOM2,CPAMD8,MAF,SOX2
GO:0150063	visual system development	0.0392	0.0392	1	VEGFA,WNT6,CYP1B1,EPHA2,SHROOM2,CPAMD8,MAF,SOX2
GO:0001654	eye development	0.0392	0.0392	1	VEGFA,WNT6,CYP1B1,EPHA2,SHROOM2,CPAMD8,MAF,SOX2
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	0.0275	0.0275	1	WWTR1,FERMT2,BMP7,DLX5,DKK1,GDF15,FST,SMAD6,CGN,BMP6,FOS,NOG
GO:0018212	peptidyl-tyrosine modification	0.000388	0.000388	1	GPRC5A,IL11,CSF3,IL23A,VEGFA,ERRFI1,ARHGEF2,EREG,LIF,IL6,TGFA,CSF2,CLCF1,DOK7,SOCS3,SOCS1
GO:1904892	regulation of STAT cascade	0.0311	0.0311	1	IL23A,LIF,IL6,CYP1B1,CSF2,CLCF1,SOCS3,SOCS1
GO:0051348	negative regulation of transferase activity	0.00174	0.00174	1	GPRC5A,WWTR1,TP73,PIK3IP1,BMP7,ERRFI1,DUSP1,DUSP4,IL1B,FOXA2,DUSP6,SPRED1,TRIB1,DUSP8,CEBPA
GO:0010563	negative regulation of phosphorus metabolic process	8.36e-07	8.36e-07	1	GPRC5A,WWTR1,TP73,PPP1R15A,PIK3IP1,BMP7,DKK1,PPIF,ERRFI1,DUSP1,DUSP4,IL1B,FOXA2,SPRY2,MYC,SMAD6,DUSP6,XDH,F2RL1,GPER1,SPRED1,TRIB1,CSRNP3,MYADM,NOG,DUSP8,SOCS3,SOCS1,CEBPA
GO:0045936	negative regulation of phosphate metabolic process	8.36e-07	8.36e-07	1	GPRC5A,WWTR1,TP73,PPP1R15A,PIK3IP1,BMP7,DKK1,PPIF,ERRFI1,DUSP1,DUSP4,IL1B,FOXA2,SPRY2,MYC,SMAD6,DUSP6,XDH,F2RL1,GPER1,SPRED1,TRIB1,CSRNP3,MYADM,NOG,DUSP8,SOCS3,SOCS1,CEBPA
GO:0031400	negative regulation of protein modification process	5.23e-05	5.23e-05	1	GPRC5A,WWTR1,TP73,PPP1R15A,BMP7,DKK1,ERRFI1,DUSP1,DUSP4,IL1B,PER2,SPRY2,MYC,SMAD6,DUSP6,XDH,F2RL1,GPER1,SPRED1,TRIB1,MYADM,NOG,DUSP8,SOCS3,SOCS1,CEBPA
GO:0031098	stress-activated protein kinase signaling cascade	0.0043	0.0043	1	SEMA3A,EDN1,TP73,SH2D3C,DKK1,MAP2K6,VEGFA,GADD45A,IL1B,EDAR,MYC,XDH,F2RL1,TRIB1
GO:0070302	regulation of stress-activated protein kinase signaling cascade	0.00694	0.00694	1	SEMA3A,EDN1,TP73,DKK1,VEGFA,GADD45A,IL1B,EDAR,MYC,XDH,F2RL1
